number,zeroes count,ones count,s,p-value,success
6CCBE091F343333648F5914C283A4A7987394909A0A77DC2676B325018C559E4,138,118,20,0.2112995473337106,PASS
582A25CB919C22EDD74B5E393CF0EEB5E82CA1FDBC69505BC8CD4A99C27657C,126,130,4,0.8025873486341526,PASS
331593E7AC4AE6E6720196FA7B96B9C12508527CD9178BFA0959D73BFAC81CFA,123,133,10,0.5319710580974012,PASS
338F0218A6294AADD69454614E1188F6B339F205D55C9A59A17A68DBB98C5B09,136,120,16,0.31731050786291404,PASS
D40B286E024E28BD591F609D52F517A8F99A40FC75FBC508D88A57661F67365C,129,127,2,0.9005235503397743,PASS
2A552840441EC74DC2BEDD796490248B202FDF988036410D6F14961C9D0920B1,147,109,38,0.01754895019147673,PASS
11E2E472974748E841E065E8DF0196F8E5F79D283A586C95BB0B23E0B01712CF,133,123,10,0.5319710580974012,PASS
A36DCB5F8713C9B96CFA9699B6A96E9A606843F68B8059E661EFA5874E4160EA,125,131,6,0.7076604666545525,PASS
44DB29F5C550479A1188DDFAB8A51BBDDB2BFB75306A3428187C376DA0A830DB,128,128,0,1.0,PASS
F3E7D35CEB99F75E3D944883B96D1541DD606F1D261FFA209C7F33C82803A5A5,122,134,12,0.4532547047537365,PASS
22AD26F9A7B97D7BBAA2F660E9AAC499AFA74AB8F4D5E91F36A88C2156D62A31,121,135,14,0.38157390570502125,PASS
24AB721E38C17EF224BD01F0FE86D23C43407ED13872E6E9F63FDA9FEF943053,123,133,10,0.5319710580974012,PASS
70523394FAE7D240D5F6793D75C7DC4A2716AA219B6A2065495E566B5C58B27A,127,129,2,0.9005235503397743,PASS
50083141E75A06839C8C59B5B7A5A279051F224D69BD9939FC1E463FD0010DF,138,118,20,0.2112995473337106,PASS
7EC9D6B4D00DD49986C3449E8D14153771AFE1BF50A65DE2D77B4A3C6573EE7F,118,138,20,0.2112995473337106,PASS
1711B3411129C79709408C1E928AE4DD1AE2F72C410435438B294CA91F441160,150,106,44,0.005959526470109114,FAIL
519967CD2BC25CC6DC664C5E11C9EA217168E6F37F1CAE9F6A01CE4A93FC2925,126,130,4,0.8025873486341526,PASS
C3A913A50F68395BE339B9ED646FF28C49F670674FE689C563D6B01F4D23B28B,122,134,12,0.4532547047537365,PASS
447099F1A090B26D3AF227E0BC025FE5034D2772F47DBED9B85CD25FEA5D0097,127,129,2,0.9005235503397743,PASS
26E50B5B14EFF56A3BDBB28FB4AB3962D0FAFC8A70B7589F99A2999D788EDC47,116,140,24,0.13361440253771617,PASS
7E7328978A77DE3CF8F7D0A5BF960EFDFE5F15BBADDAFB6501CE9E020ADE9C98,109,147,38,0.01754895019147673,PASS
EFF411324078F91C9B7A34B9B11FFF85C903A911E96E6A037216171D7D271738,127,129,2,0.9005235503397743,PASS
FDF9984817B051C6AA92EEAE6772AAB8BEECA33942861A0A9746FAC51AC337B5,125,131,6,0.7076604666545525,PASS
3AC5D5AE32C7E0F30C4D90DEE813BD454FBC84F4206D4946428C3C6769881555,135,121,14,0.38157390570502125,PASS
F7E7227766CA07ECBD7C19C6332E196A0F04CDFBA22EA92E0407B112C10D6C1,133,123,10,0.5319710580974012,PASS
7648DAA4A8EFD27F222616942E7E836AB5529E35794E94CDBAE0008A5D7D85A9,129,127,2,0.9005235503397743,PASS
B5168E84D9C017E4D1630B5A085A76005B9D2F58EF7609F4329063E123321CD,140,116,24,0.13361440253771617,PASS
7E6F3AB9D77C8DF9F9939560A7291B0ACE8DC136B7D09F2BC5D48AB2EAD21243,120,136,16,0.31731050786291404,PASS
BA57BBE065CC7F81B7C154EB96D99229054FC7BCD4A601679D783E11B05FB74,124,132,8,0.6170750774519738,PASS
3279E08EFD54E24FEE6395A70246F5235D21F477842E8B1CA1C2A9A79BE5354D,126,130,4,0.8025873486341526,PASS
